,الجنسية,الجنس,المنطقة,حكومي/خاص,المدرسة,النسبة
108,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,83.58
109,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,70.35
110,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,78.47
111,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,86.12
112,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,69.65
113,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,69.17
114,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,78.75
115,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,73.31
116,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,71.13
117,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,66.4
118,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,79.64
119,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,75.37
120,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,66.23
121,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,74.47
122,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,66.82
123,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,64.89
124,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,94.04
125,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,79.32
126,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,77.0
127,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,68.12
128,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,69.68
129,كويتي,بنين,مبارك الكبير,حكــومى,عبدالله المبارك الصباح الثانوية للبنين,80.81
130,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,76.8
131,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,65.99
132,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,66.96
133,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,80.3
134,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,79.06
135,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,65.88
136,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,75.56
137,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,68.42
138,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,67.97
139,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,64.41
140,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,79.33
141,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,74.54
142,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,66.24
143,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,70.28
144,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,82.27
145,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,75.13
146,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,67.3
147,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,77.69
148,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,74.49
149,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,71.06
150,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,71.35
151,غير محدد الجنسية,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,73.99
152,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,78.17
153,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,70.41
154,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,68.19
155,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,58.65
156,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,82.35
157,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,69.28
158,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,64.11
159,سعودي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,73.9
160,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,74.63
161,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,70.7
162,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,66.57
163,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,74.21
164,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,77.54
165,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,66.43
166,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,70.54
167,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,80.62
168,كويتي,بنين,مبارك الكبير,حكــومى,خالد سعود الزيد الثانوية للبنين,73.98
169,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,66.84
170,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,76.95
171,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,69.12
172,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,71.54
173,غير محدد الجنسية,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,72.02
174,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,94.31
175,سعودي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,76.44
176,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,64.19
177,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,75.64
178,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,66.13
179,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,73.2
180,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,68.53
181,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,72.08
182,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,80.22
183,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,69.38
184,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,78.88
185,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,71.82
186,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,71.42
187,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,96.1
188,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,88.99
189,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,68.5
190,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,70.13
191,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,69.17
192,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,69.18
193,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,76.4
194,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,84.16
195,كويتي,بنين,مبارك الكبير,حكــومى,صباح السالم الثانوية للبنين,63.66
196,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,80.23
197,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,78.62
198,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,88.28
199,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,81.2
200,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,77.16
201,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,76.95
202,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,62.27
203,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,72.16
204,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,79.7
205,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,83.49
206,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,68.92
207,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,94.78
208,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,87.18
209,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,69.48
210,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,71.39
211,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,75.37
212,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,85.53
213,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,68.52
214,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,68.45
215,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,68.05
216,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,78.31
217,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,91.69
218,بحريني,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,78.82
219,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,94.23
220,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,87.71
221,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,90.06
222,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,85.85
223,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,63.52
224,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,66.13
225,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,70.44
226,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,69.29
227,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,86.97
228,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,58.7
229,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,66.86
230,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,73.97
231,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,71.86
232,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,88.85
233,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,66.77
234,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,76.04
235,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,73.51
236,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,68.29
237,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,71.69
238,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,67.32
239,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,78.21
240,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,88.69
241,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,74.76
242,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,76.08
243,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,77.01
244,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,88.52
245,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,89.28
246,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,88.25
247,كويتي,بنات,مبارك الكبير,حكــومى,طليطله الثانوية للبنات,85.36
248,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,85.98
249,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,79.21
250,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,63.56
